"Rider_1"	"Name"	"Team.x"	"Rider"	"Value"	"Rank"	"Rider.No."	"Team.y"	"Times"	"Gap"	"B"	"P"	"Stage_no"	"Hour"	"Minute"	"Second"	"total_seconds"	"time"
"B. GIRMAY"	"Mary"	"The Lion Kings"	"Biniam Girmay "	1	157	131	"NSN CYCLING TEAM"	"03h 53' 57''"	"+ 00h 13' 56''"	"-"	"-"	"stage-2"	3	53	57	14037	3H 53M 57S
"B. GIRMAY"	"Mary"	"The Lion Kings"	"Biniam Girmay "	1	81	131	"NSN CYCLING TEAM"	"00h 24' 57''"	"+ 00h 03' 10''"	"-"	"-"	"stage-1"	0	24	57	1497	24M 57S
"B. HEALY"	"Jonathan"	"Pedal Dammit"	"Ben Healy"	1	107	44	"EF EDUCATION - EASYPOST"	"03h 52' 17''"	"+ 00h 12' 16''"	"-"	"-"	"stage-2"	3	52	17	13937	3H 52M 17S
"B. HEALY"	"Jonathan"	"Pedal Dammit"	"Ben Healy"	1	84	44	"EF EDUCATION - EASYPOST"	"00h 24' 58''"	"+ 00h 03' 11''"	"-"	"-"	"stage-1"	0	24	58	1498	24M 58S
"B. HEALY"	"James"	"Škoda Drivers"	"Ben Healy"	1	107	44	"EF EDUCATION - EASYPOST"	"03h 52' 17''"	"+ 00h 12' 16''"	"-"	"-"	"stage-2"	3	52	17	13937	3H 52M 17S
"B. HEALY"	"James"	"Škoda Drivers"	"Ben Healy"	1	84	44	"EF EDUCATION - EASYPOST"	"00h 24' 58''"	"+ 00h 03' 11''"	"-"	"-"	"stage-1"	0	24	58	1498	24M 58S
"B. HEALY"	"Matthew"	"Last Minute Lemmings"	"Ben Healy"	1	107	44	"EF EDUCATION - EASYPOST"	"03h 52' 17''"	"+ 00h 12' 16''"	"-"	"-"	"stage-2"	3	52	17	13937	3H 52M 17S
"B. HEALY"	"Matthew"	"Last Minute Lemmings"	"Ben Healy"	1	84	44	"EF EDUCATION - EASYPOST"	"00h 24' 58''"	"+ 00h 03' 11''"	"-"	"-"	"stage-1"	0	24	58	1498	24M 58S
"B. HEALY"	"Pete"	"The Clean Team"	"Ben Healy"	1	107	44	"EF EDUCATION - EASYPOST"	"03h 52' 17''"	"+ 00h 12' 16''"	"-"	"-"	"stage-2"	3	52	17	13937	3H 52M 17S
"B. HEALY"	"Pete"	"The Clean Team"	"Ben Healy"	1	84	44	"EF EDUCATION - EASYPOST"	"00h 24' 58''"	"+ 00h 03' 11''"	"-"	"-"	"stage-1"	0	24	58	1498	24M 58S
"B. HEALY"	"Julie"	"Can’t catch me 🙂"	"Ben Healey"	1	107	44	"EF EDUCATION - EASYPOST"	"03h 52' 17''"	"+ 00h 12' 16''"	"-"	"-"	"stage-2"	3	52	17	13937	3H 52M 17S
"B. HEALY"	"Julie"	"Can’t catch me 🙂"	"Ben Healey"	1	84	44	"EF EDUCATION - EASYPOST"	"00h 24' 58''"	"+ 00h 03' 11''"	"-"	"-"	"stage-1"	0	24	58	1498	24M 58S
"B. HEALY"	"Jacques"	"Team Spanky"	"Ben Healy"	1	107	44	"EF EDUCATION - EASYPOST"	"03h 52' 17''"	"+ 00h 12' 16''"	"-"	"-"	"stage-2"	3	52	17	13937	3H 52M 17S
"B. HEALY"	"Jacques"	"Team Spanky"	"Ben Healy"	1	84	44	"EF EDUCATION - EASYPOST"	"00h 24' 58''"	"+ 00h 03' 11''"	"-"	"-"	"stage-1"	0	24	58	1498	24M 58S
"B. O'CONNOR"	"Conor"	"iPaddy Rides Again"	"Ben O'Connor"	1	159	111	"TEAM JAYCO ALULA"	"00h 26' 20''"	"+ 00h 04' 33''"	"-"	"-"	"stage-1"	0	26	20	1580	26M 20S
"B. O'CONNOR"	"Conor"	"iPaddy Rides Again"	"Ben O'Connor"	1	40	111	"TEAM JAYCO ALULA"	"03h 45' 32''"	"+ 00h 05' 31''"	"-"	"-"	"stage-2"	3	45	32	13532	3H 45M 32S
"B. O'CONNOR"	"Matthew"	"Last Minute Lemmings"	"Ben O'Connor"	1	159	111	"TEAM JAYCO ALULA"	"00h 26' 20''"	"+ 00h 04' 33''"	"-"	"-"	"stage-1"	0	26	20	1580	26M 20S
"B. O'CONNOR"	"Matthew"	"Last Minute Lemmings"	"Ben O'Connor"	1	40	111	"TEAM JAYCO ALULA"	"03h 45' 32''"	"+ 00h 05' 31''"	"-"	"-"	"stage-2"	3	45	32	13532	3H 45M 32S
"C. UIJTDEBROEKS"	"Dirk"	"Tintin en Velo"	"Cian Uijtdebroeks"	1	17	141	"MOVISTAR TEAM"	"03h 40' 28''"	"+ 00h 00' 27''"	"-"	"-"	"stage-2"	3	40	28	13228	3H 40M 28S
"C. UIJTDEBROEKS"	"Dirk"	"Tintin en Velo"	"Cian Uijtdebroeks"	1	40	141	"MOVISTAR TEAM"	"00h 23' 40''"	"+ 00h 01' 53''"	"-"	"-"	"stage-1"	0	23	40	1420	23M 40S
"C. UIJTDEBROEKS"	"Ashley"	"Le Grand Fromage"	"Cian Uijtdebroeks"	1	17	141	"MOVISTAR TEAM"	"03h 40' 28''"	"+ 00h 00' 27''"	"-"	"-"	"stage-2"	3	40	28	13228	3H 40M 28S
"C. UIJTDEBROEKS"	"Ashley"	"Le Grand Fromage"	"Cian Uijtdebroeks"	1	40	141	"MOVISTAR TEAM"	"00h 23' 40''"	"+ 00h 01' 53''"	"-"	"-"	"stage-1"	0	23	40	1420	23M 40S
"C. UIJTDEBROEKS"	"Pete"	"The Clean Team"	"Cian Uijtdebroeks"	1	17	141	"MOVISTAR TEAM"	"03h 40' 28''"	"+ 00h 00' 27''"	"-"	"-"	"stage-2"	3	40	28	13228	3H 40M 28S
"C. UIJTDEBROEKS"	"Pete"	"The Clean Team"	"Cian Uijtdebroeks"	1	40	141	"MOVISTAR TEAM"	"00h 23' 40''"	"+ 00h 01' 53''"	"-"	"-"	"stage-1"	0	23	40	1420	23M 40S
"D. GEE"	"Mary"	"The Lion Kings"	"Derek Gee-West"	1	45	32	"LIDL-TREK"	"00h 23' 50''"	"+ 00h 02' 03''"	"-"	"-"	"stage-1"	0	23	50	1430	23M 50S
"D. GEE"	"Mary"	"The Lion Kings"	"Derek Gee-West"	1	45	32	"LIDL-TREK"	"03h 45' 32''"	"+ 00h 05' 31''"	"-"	"-"	"stage-2"	3	45	32	13532	3H 45M 32S
"D. GEE"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Derek Gee-West"	1	45	32	"LIDL-TREK"	"00h 23' 50''"	"+ 00h 02' 03''"	"-"	"-"	"stage-1"	0	23	50	1430	23M 50S
"D. GEE"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Derek Gee-West"	1	45	32	"LIDL-TREK"	"03h 45' 32''"	"+ 00h 05' 31''"	"-"	"-"	"stage-2"	3	45	32	13532	3H 45M 32S
"D. GEE"	"Janet"	"No Idea"	"Derek Gee-West"	1	45	32	"LIDL-TREK"	"00h 23' 50''"	"+ 00h 02' 03''"	"-"	"-"	"stage-1"	0	23	50	1430	23M 50S
"D. GEE"	"Janet"	"No Idea"	"Derek Gee-West"	1	45	32	"LIDL-TREK"	"03h 45' 32''"	"+ 00h 05' 31''"	"-"	"-"	"stage-2"	3	45	32	13532	3H 45M 32S
"D. GODON"	"Jacques"	"Team Spanky"	"Dorian Godon"	1	121	85	"NETCOMPANY INEOS CYCLING TEAM"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
"D. GODON"	"Jacques"	"Team Spanky"	"Dorian Godon"	1	50	85	"NETCOMPANY INEOS CYCLING TEAM"	"00h 23' 57''"	"+ 00h 02' 10''"	"-"	"-"	"stage-1"	0	23	57	1437	23M 57S
"D. HOOLE"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Daan Hoole"	1	141	54	"DECATHLON CMA CGM TEAM"	"00h 25' 59''"	"+ 00h 04' 12''"	"-"	"-"	"stage-1"	0	25	59	1559	25M 59S
"D. HOOLE"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Daan Hoole"	1	148	54	"DECATHLON CMA CGM TEAM"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
"D. PIGANZOLI"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Davide Piganzoli"	1	28	18	"TEAM VISMA | LEASE A BIKE"	"03h 41' 11''"	"+ 00h 01' 10''"	"-"	"-"	"stage-2"	3	41	11	13271	3H 41M 11S
"D. PIGANZOLI"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Davide Piganzoli"	1	7	18	"TEAM VISMA | LEASE A BIKE"	"00h 22' 15''"	"+ 00h 00' 28''"	"-"	"-"	"stage-1"	0	22	15	1335	22M 15S
"D. PIGANZOLI"	"Pete"	"The Clean Team"	"Davide Piganzoli"	1	28	18	"TEAM VISMA | LEASE A BIKE"	"03h 41' 11''"	"+ 00h 01' 10''"	"-"	"-"	"stage-2"	3	41	11	13271	3H 41M 11S
"D. PIGANZOLI"	"Pete"	"The Clean Team"	"Davide Piganzoli"	1	7	18	"TEAM VISMA | LEASE A BIKE"	"00h 22' 15''"	"+ 00h 00' 28''"	"-"	"-"	"stage-1"	0	22	15	1335	22M 15S
"E. BERNAL"	"Chris & Jill"	"Mystery Package"	"Egan Bernal "	1	80	81	"NETCOMPANY INEOS CYCLING TEAM"	"00h 24' 53''"	"+ 00h 03' 06''"	"-"	"-"	"stage-1"	0	24	53	1493	24M 53S
"E. BERNAL"	"Chris & Jill"	"Mystery Package"	"Egan Bernal "	1	23	81	"NETCOMPANY INEOS CYCLING TEAM"	"03h 40' 48''"	"+ 00h 00' 47''"	"-"	"-"	"stage-2"	3	40	48	13248	3H 40M 48S
"E. RUBIO"	"Ian"	"Shed Brewery"	"Einer Rubio"	1	102	148	"MOVISTAR TEAM"	"00h 25' 12''"	"+ 00h 03' 25''"	"-"	"-"	"stage-1"	0	25	12	1512	25M 12S
"E. RUBIO"	"Ian"	"Shed Brewery"	"Einer Rubio"	1	119	148	"MOVISTAR TEAM"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
"F. ENGELHARDT"	"Julie"	"Can’t catch me 🙂"	"Felix Engelhadt"	1	112	114	"TEAM JAYCO ALULA"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
"F. ENGELHARDT"	"Julie"	"Can’t catch me 🙂"	"Felix Engelhadt"	1	161	114	"TEAM JAYCO ALULA"	"00h 26' 20''"	"+ 00h 04' 33''"	"-"	"-"	"stage-1"	0	26	20	1580	26M 20S
"F. GANNA"	"Mary"	"The Lion Kings"	"Filipino Ganna"	1	169	84	"NETCOMPANY INEOS CYCLING TEAM"	"03h 54' 44''"	"+ 00h 14' 43''"	"-"	"-"	"stage-2"	3	54	44	14084	3H 54M 44S
"F. GANNA"	"Mary"	"The Lion Kings"	"Filipino Ganna"	1	2	84	"NETCOMPANY INEOS CYCLING TEAM"	"00h 21' 55''"	"+ 00h 00' 08''"	"-"	"-"	"stage-1"	0	21	55	1315	21M 55S
"F. GANNA"	"Ashley"	"Le Grand Fromage"	"Filipino Ganna"	1	169	84	"NETCOMPANY INEOS CYCLING TEAM"	"03h 54' 44''"	"+ 00h 14' 43''"	"-"	"-"	"stage-2"	3	54	44	14084	3H 54M 44S
"F. GANNA"	"Ashley"	"Le Grand Fromage"	"Filipino Ganna"	1	2	84	"NETCOMPANY INEOS CYCLING TEAM"	"00h 21' 55''"	"+ 00h 00' 08''"	"-"	"-"	"stage-1"	0	21	55	1315	21M 55S
"F. LIPOWITZ"	"Pete"	"The Clean Team"	"Florian Lipowitz"	1	16	25	"RED BULL - BORA - HANSGROHE"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
"F. LIPOWITZ"	"Pete"	"The Clean Team"	"Florian Lipowitz"	1	8	25	"RED BULL - BORA - HANSGROHE"	"00h 22' 22''"	"+ 00h 00' 35''"	"-"	"-"	"stage-1"	0	22	22	1342	22M 22S
"F. LIPOWITZ"	"Jacques"	"Team Spanky"	"Florian Lipowitz"	1	16	25	"RED BULL - BORA - HANSGROHE"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
"F. LIPOWITZ"	"Jacques"	"Team Spanky"	"Florian Lipowitz"	1	8	25	"RED BULL - BORA - HANSGROHE"	"00h 22' 22''"	"+ 00h 00' 35''"	"-"	"-"	"stage-1"	0	22	22	1342	22M 22S
"F. LIPOWITZ"	"Conor"	"iPaddy Rides Again"	"Florian Lipowitz"	1	16	25	"RED BULL - BORA - HANSGROHE"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
"F. LIPOWITZ"	"Conor"	"iPaddy Rides Again"	"Florian Lipowitz"	1	8	25	"RED BULL - BORA - HANSGROHE"	"00h 22' 22''"	"+ 00h 00' 35''"	"-"	"-"	"stage-1"	0	22	22	1342	22M 22S
"F. LIPOWITZ"	"Alex"	"Team Saucisson"	"Florian Lipowitz"	1	16	25	"RED BULL - BORA - HANSGROHE"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
"F. LIPOWITZ"	"Alex"	"Team Saucisson"	"Florian Lipowitz"	1	8	25	"RED BULL - BORA - HANSGROHE"	"00h 22' 22''"	"+ 00h 00' 35''"	"-"	"-"	"stage-1"	0	22	22	1342	22M 22S
"F. LIPOWITZ"	"Judy"	"Barcelona Breakaway"	"Florian Lipowitz"	1	16	25	"RED BULL - BORA - HANSGROHE"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
