"Rider_1"	"Name"	"Team.x"	"Rider"	"Value"	"Rank"	"Rider.No."	"Team.y"	"Times"	"Gap"	"B"	"P"	"Stage_no"	"Hour"	"Minute"	"Second"	"total_seconds"	"time"
"A. BAUDIN"	"Alain"	"The Eight Musketeers"	"Alex Baudin"	1	47	43	"EF EDUCATION - EASYPOST"	"04h 49' 19''"	"+ 00h 04' 08''"	"-"	"-"	"stage-3"	4	49	19	17359	4H 49M 19S
"A. BAUDIN"	"Ashley"	"Le Grand Fromage"	"Alex Baudin"	1	47	43	"EF EDUCATION - EASYPOST"	"04h 49' 19''"	"+ 00h 04' 08''"	"-"	"-"	"stage-3"	4	49	19	17359	4H 49M 19S
"A. BAUDIN"	"Jacques"	"Team Spanky"	"Alex Baudin"	1	47	43	"EF EDUCATION - EASYPOST"	"04h 49' 19''"	"+ 00h 04' 08''"	"-"	"-"	"stage-3"	4	49	19	17359	4H 49M 19S
"A. TIBERI"	"Pete"	"The Clean Team"	"Antonio Tiberi"	1	21	77	"BAHRAIN VICTORIOUS"	"04h 45' 53''"	"+ 00h 00' 42''"	"-"	"-"	"stage-3"	4	45	53	17153	4H 45M 53S
"A. TIBERI"	"Ian"	"Shed Brewery"	"Antonio Tiberi"	1	21	77	"BAHRAIN VICTORIOUS"	"04h 45' 53''"	"+ 00h 00' 42''"	"-"	"-"	"stage-3"	4	45	53	17153	4H 45M 53S
"A. TIBERI"	"Judy"	"Barcelona Breakaway"	"Antonio Tiberi"	1	21	77	"BAHRAIN VICTORIOUS"	"04h 45' 53''"	"+ 00h 00' 42''"	"-"	"-"	"stage-3"	4	45	53	17153	4H 45M 53S
"A. YATES"	"Matthew"	"Last Minute Lemmings"	"Adam Yates"	1	23	8	"UAE TEAM EMIRATES XRG"	"04h 46' 01''"	"+ 00h 00' 50''"	"-"	"-"	"stage-3"	4	46	1	17161	4H 46M 1S
"A. YATES"	"Ian"	"Shed Brewery"	"Adam Yates"	1	23	8	"UAE TEAM EMIRATES XRG"	"04h 46' 01''"	"+ 00h 00' 50''"	"-"	"-"	"stage-3"	4	46	1	17161	4H 46M 1S
"A. YATES"	"Janet"	"No Idea"	"Adam Yates"	1	23	8	"UAE TEAM EMIRATES XRG"	"04h 46' 01''"	"+ 00h 00' 50''"	"-"	"-"	"stage-3"	4	46	1	17161	4H 46M 1S
"A. YATES"	"Conor"	"iPaddy Rides Again"	"Adam Yates"	1	23	8	"UAE TEAM EMIRATES XRG"	"04h 46' 01''"	"+ 00h 00' 50''"	"-"	"-"	"stage-3"	4	46	1	17161	4H 46M 1S
"A. YATES"	"Judy"	"Barcelona Breakaway"	"Adam Yates"	1	23	8	"UAE TEAM EMIRATES XRG"	"04h 46' 01''"	"+ 00h 00' 50''"	"-"	"-"	"stage-3"	4	46	1	17161	4H 46M 1S
"B. GIRMAY"	"Chris & Jill"	"Mystery Package"	"Biniam Girmay "	1	132	131	"NSN CYCLING TEAM"	"05h 09' 41''"	"+ 00h 24' 30''"	"-"	"-"	"stage-3"	5	9	41	18581	5H 9M 41S
"B. GIRMAY"	"Dirk"	"Tintin en Velo"	"Biniam Girmay "	1	132	131	"NSN CYCLING TEAM"	"05h 09' 41''"	"+ 00h 24' 30''"	"-"	"-"	"stage-3"	5	9	41	18581	5H 9M 41S
"B. GIRMAY"	"Mary"	"The Lion Kings"	"Biniam Girmay "	1	132	131	"NSN CYCLING TEAM"	"05h 09' 41''"	"+ 00h 24' 30''"	"-"	"-"	"stage-3"	5	9	41	18581	5H 9M 41S
"B. HEALY"	"Jonathan"	"Pedal Dammit"	"Ben Healy"	1	89	44	"EF EDUCATION - EASYPOST"	"05h 06' 11''"	"+ 00h 21' 00''"	"-"	"-"	"stage-3"	5	6	11	18371	5H 6M 11S
"B. HEALY"	"James"	"Škoda Drivers"	"Ben Healy"	1	89	44	"EF EDUCATION - EASYPOST"	"05h 06' 11''"	"+ 00h 21' 00''"	"-"	"-"	"stage-3"	5	6	11	18371	5H 6M 11S
"B. HEALY"	"Matthew"	"Last Minute Lemmings"	"Ben Healy"	1	89	44	"EF EDUCATION - EASYPOST"	"05h 06' 11''"	"+ 00h 21' 00''"	"-"	"-"	"stage-3"	5	6	11	18371	5H 6M 11S
"B. HEALY"	"Pete"	"The Clean Team"	"Ben Healy"	1	89	44	"EF EDUCATION - EASYPOST"	"05h 06' 11''"	"+ 00h 21' 00''"	"-"	"-"	"stage-3"	5	6	11	18371	5H 6M 11S
"B. HEALY"	"Julie"	"Can’t catch me 🙂"	"Ben Healey"	1	89	44	"EF EDUCATION - EASYPOST"	"05h 06' 11''"	"+ 00h 21' 00''"	"-"	"-"	"stage-3"	5	6	11	18371	5H 6M 11S
"B. HEALY"	"Jacques"	"Team Spanky"	"Ben Healy"	1	89	44	"EF EDUCATION - EASYPOST"	"05h 06' 11''"	"+ 00h 21' 00''"	"-"	"-"	"stage-3"	5	6	11	18371	5H 6M 11S
"B. O'CONNOR"	"Conor"	"iPaddy Rides Again"	"Ben O'Connor"	1	81	111	"TEAM JAYCO ALULA"	"05h 05' 33''"	"+ 00h 20' 22''"	"-"	"-"	"stage-3"	5	5	33	18333	5H 5M 33S
"B. O'CONNOR"	"Matthew"	"Last Minute Lemmings"	"Ben O'Connor"	1	81	111	"TEAM JAYCO ALULA"	"05h 05' 33''"	"+ 00h 20' 22''"	"-"	"-"	"stage-3"	5	5	33	18333	5H 5M 33S
"C. UIJTDEBROEKS"	"Dirk"	"Tintin en Velo"	"Cian Uijtdebroeks"	1	27	141	"MOVISTAR TEAM"	"04h 46' 11''"	"+ 00h 01' 00''"	"-"	"-"	"stage-3"	4	46	11	17171	4H 46M 11S
"C. UIJTDEBROEKS"	"Ashley"	"Le Grand Fromage"	"Cian Uijtdebroeks"	1	27	141	"MOVISTAR TEAM"	"04h 46' 11''"	"+ 00h 01' 00''"	"-"	"-"	"stage-3"	4	46	11	17171	4H 46M 11S
"C. UIJTDEBROEKS"	"Pete"	"The Clean Team"	"Cian Uijtdebroeks"	1	27	141	"MOVISTAR TEAM"	"04h 46' 11''"	"+ 00h 01' 00''"	"-"	"-"	"stage-3"	4	46	11	17171	4H 46M 11S
"D. GEE"	"Mary"	"The Lion Kings"	"Derek Gee-West"	1	67	32	"LIDL-TREK"	"04h 58' 46''"	"+ 00h 13' 35''"	"-"	"-"	"stage-3"	4	58	46	17926	4H 58M 46S
"D. GEE"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Derek Gee-West"	1	67	32	"LIDL-TREK"	"04h 58' 46''"	"+ 00h 13' 35''"	"-"	"-"	"stage-3"	4	58	46	17926	4H 58M 46S
"D. GEE"	"Janet"	"No Idea"	"Derek Gee-West"	1	67	32	"LIDL-TREK"	"04h 58' 46''"	"+ 00h 13' 35''"	"-"	"-"	"stage-3"	4	58	46	17926	4H 58M 46S
"D. GODON"	"Jacques"	"Team Spanky"	"Dorian Godon"	1	172	85	"NETCOMPANY INEOS CYCLING TEAM"	"05h 21' 41''"	"+ 00h 36' 30''"	"-"	"-"	"stage-3"	5	21	41	19301	5H 21M 41S
"D. HOOLE"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Daan Hoole"	1	128	54	"DECATHLON CMA CGM TEAM"	"05h 09' 39''"	"+ 00h 24' 28''"	"-"	"-"	"stage-3"	5	9	39	18579	5H 9M 39S
"D. PIGANZOLI"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Davide Piganzoli"	1	20	18	"TEAM VISMA | LEASE A BIKE"	"04h 45' 44''"	"+ 00h 00' 33''"	"-"	"-"	"stage-3"	4	45	44	17144	4H 45M 44S
"D. PIGANZOLI"	"Pete"	"The Clean Team"	"Davide Piganzoli"	1	20	18	"TEAM VISMA | LEASE A BIKE"	"04h 45' 44''"	"+ 00h 00' 33''"	"-"	"-"	"stage-3"	4	45	44	17144	4H 45M 44S
"E. BERNAL"	"Chris & Jill"	"Mystery Package"	"Egan Bernal "	1	17	81	"NETCOMPANY INEOS CYCLING TEAM"	"04h 45' 29''"	"+ 00h 00' 18''"	"-"	"-"	"stage-3"	4	45	29	17129	4H 45M 29S
"E. RUBIO"	"Ian"	"Shed Brewery"	"Einer Rubio"	1	54	148	"MOVISTAR TEAM"	"04h 58' 46''"	"+ 00h 13' 35''"	"-"	"-"	"stage-3"	4	58	46	17926	4H 58M 46S
"F. ENGELHARDT"	"Julie"	"Can’t catch me 🙂"	"Felix Engelhadt"	1	92	114	"TEAM JAYCO ALULA"	"05h 08' 10''"	"+ 00h 22' 59''"	"-"	"-"	"stage-3"	5	8	10	18490	5H 8M 10S
"F. GANNA"	"Mary"	"The Lion Kings"	"Filipino Ganna"	1	179	84	"NETCOMPANY INEOS CYCLING TEAM"	"05h 23' 21''"	"+ 00h 38' 10''"	"-"	"-"	"stage-3"	5	23	21	19401	5H 23M 21S
"F. GANNA"	"Ashley"	"Le Grand Fromage"	"Filipino Ganna"	1	179	84	"NETCOMPANY INEOS CYCLING TEAM"	"05h 23' 21''"	"+ 00h 38' 10''"	"-"	"-"	"stage-3"	5	23	21	19401	5H 23M 21S
"F. LIPOWITZ"	"Pete"	"The Clean Team"	"Florian Lipowitz"	1	7	25	"RED BULL - BORA - HANSGROHE"	"04h 45' 15''"	"+ 00h 00' 04''"	"-"	"-"	"stage-3"	4	45	15	17115	4H 45M 15S
"F. LIPOWITZ"	"Jacques"	"Team Spanky"	"Florian Lipowitz"	1	7	25	"RED BULL - BORA - HANSGROHE"	"04h 45' 15''"	"+ 00h 00' 04''"	"-"	"-"	"stage-3"	4	45	15	17115	4H 45M 15S
"F. LIPOWITZ"	"Conor"	"iPaddy Rides Again"	"Florian Lipowitz"	1	7	25	"RED BULL - BORA - HANSGROHE"	"04h 45' 15''"	"+ 00h 00' 04''"	"-"	"-"	"stage-3"	4	45	15	17115	4H 45M 15S
"F. LIPOWITZ"	"Alex"	"Team Saucisson"	"Florian Lipowitz"	1	7	25	"RED BULL - BORA - HANSGROHE"	"04h 45' 15''"	"+ 00h 00' 04''"	"-"	"-"	"stage-3"	4	45	15	17115	4H 45M 15S
"F. LIPOWITZ"	"Judy"	"Barcelona Breakaway"	"Florian Lipowitz"	1	7	25	"RED BULL - BORA - HANSGROHE"	"04h 45' 15''"	"+ 00h 00' 04''"	"-"	"-"	"stage-3"	4	45	15	17115	4H 45M 15S
"F. LIPOWITZ"	"Jonathan"	"Pedal Dammit"	"Florian Lipowitz"	1	7	25	"RED BULL - BORA - HANSGROHE"	"04h 45' 15''"	"+ 00h 00' 04''"	"-"	"-"	"stage-3"	4	45	15	17115	4H 45M 15S
"F. LIPOWITZ"	"Ian"	"Shed Brewery"	"Florian Lipowitz"	1	7	25	"RED BULL - BORA - HANSGROHE"	"04h 45' 15''"	"+ 00h 00' 04''"	"-"	"-"	"stage-3"	4	45	15	17115	4H 45M 15S
"F. LIPOWITZ"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Florian Lipowitz"	1	7	25	"RED BULL - BORA - HANSGROHE"	"04h 45' 15''"	"+ 00h 00' 04''"	"-"	"-"	"stage-3"	4	45	15	17115	4H 45M 15S
"F. LIPOWITZ"	"Dirk"	"Tintin en Velo"	"Florian Lipowitz"	1	7	25	"RED BULL - BORA - HANSGROHE"	"04h 45' 15''"	"+ 00h 00' 04''"	"-"	"-"	"stage-3"	4	45	15	17115	4H 45M 15S
"F. LIPOWITZ"	"Matthew"	"Last Minute Lemmings"	"Florian Lipowitz"	1	7	25	"RED BULL - BORA - HANSGROHE"	"04h 45' 15''"	"+ 00h 00' 04''"	"-"	"-"	"stage-3"	4	45	15	17115	4H 45M 15S
"F. WRIGHT"	"Janet"	"No Idea"	"Fred Wright"	1	176	178	"PINARELLO-Q36.5 PRO CYCLING TEAM"	"05h 22' 52''"	"+ 00h 37' 41''"	"-"	"-"	"stage-3"	5	22	52	19372	5H 22M 52S
"G. MARTIN GUYONNET"	"Alain"	"The Eight Musketeers"	"Guillaume Martin-Guyonnet"	1	28	186	"GROUPAMA-FDJ UNITED"	"04h 46' 17''"	"+ 00h 01' 06''"	"-"	"-"	"stage-3"	4	46	17	17177	4H 46M 17S
"G. ZIMMERMANN"	"Alex"	"Team Saucisson"	"Georg Zimmermann"	1	80	158	"LOTTO INTERMARCHE"	"05h 05' 29''"	"+ 00h 20' 18''"	"-"	"-"	"stage-3"	5	5	29	18329	5H 5M 29S
"I. DEL TORO"	"Julie"	"Can’t catch me 🙂"	"Isaac del Toro"	1	9	2	"UAE TEAM EMIRATES XRG"	"04h 45' 15''"	"+ 00h 00' 04''"	"-"	"-"	"stage-3"	4	45	15	17115	4H 45M 15S
