"Rank"	"Rider"	"Rider.No."	"Team"	"Times"	"Gap"	"B"	"P"	"Stage_no"	"Hour"	"Minute"	"Second"	"total_seconds"	"time"
35	"T. TRÆEN"	127	"UNO-X MOBILITY"	"03h 41' 56''"	"+ 00h 01' 55''"	"-"	"-"	"stage-2"	3	41	56	13316	3H 41M 56S
36	"J. HINDLEY"	24	"RED BULL - BORA - HANSGROHE"	"03h 41' 56''"	"+ 00h 01' 55''"	"-"	"-"	"stage-2"	3	41	56	13316	3H 41M 56S
37	"T. BENOOT"	52	"DECATHLON CMA CGM TEAM"	"03h 41' 56''"	"+ 00h 01' 55''"	"-"	"-"	"stage-2"	3	41	56	13316	3H 41M 56S
38	"M. VACEK"	37	"LIDL-TREK"	"03h 45' 03''"	"+ 00h 05' 02''"	"-"	"-"	"stage-2"	3	45	3	13503	3H 45M 3S
39	"B. MCNULTY"	4	"UAE TEAM EMIRATES XRG"	"03h 45' 03''"	"+ 00h 05' 02''"	"-"	"-"	"stage-2"	3	45	3	13503	3H 45M 3S
40	"B. O'CONNOR"	111	"TEAM JAYCO ALULA"	"03h 45' 32''"	"+ 00h 05' 31''"	"-"	"-"	"stage-2"	3	45	32	13532	3H 45M 32S
41	"M. RICCITELLO"	58	"DECATHLON CMA CGM TEAM"	"03h 45' 32''"	"+ 00h 05' 31''"	"-"	"-"	"stage-2"	3	45	32	13532	3H 45M 32S
42	"G. MARTIN GUYONNET"	186	"GROUPAMA-FDJ UNITED"	"03h 45' 32''"	"+ 00h 05' 31''"	"-"	"-"	"stage-2"	3	45	32	13532	3H 45M 32S
43	"G. BENNETT"	133	"NSN CYCLING TEAM"	"03h 45' 32''"	"+ 00h 05' 31''"	"-"	"-"	"stage-2"	3	45	32	13532	3H 45M 32S
44	"L. PLAPP"	117	"TEAM JAYCO ALULA"	"03h 45' 32''"	"+ 00h 05' 31''"	"-"	"-"	"stage-2"	3	45	32	13532	3H 45M 32S
45	"D. GEE"	32	"LIDL-TREK"	"03h 45' 32''"	"+ 00h 05' 31''"	"-"	"-"	"stage-2"	3	45	32	13532	3H 45M 32S
46	"A. TIBERI"	77	"BAHRAIN VICTORIOUS"	"03h 45' 45''"	"+ 00h 05' 44''"	"-"	"-"	"stage-2"	3	45	45	13545	3H 45M 45S
47	"Q. HERMANS"	174	"PINARELLO-Q36.5 PRO CYCLING TEAM"	"03h 45' 58''"	"+ 00h 05' 57''"	"-"	"-"	"stage-2"	3	45	58	13558	3H 45M 58S
48	"M. JORGENSON"	16	"TEAM VISMA | LEASE A BIKE"	"03h 46' 04''"	"+ 00h 06' 03''"	"-"	"-"	"stage-2"	3	46	4	13564	3H 46M 4S
49	"M. SCHMID"	118	"TEAM JAYCO ALULA"	"03h 46' 22''"	"+ 00h 06' 21''"	"-"	"-"	"stage-2"	3	46	22	13582	3H 46M 22S
50	"B. ARMIRAIL"	13	"TEAM VISMA | LEASE A BIKE"	"03h 46' 53''"	"+ 00h 06' 52''"	"-"	"-"	"stage-2"	3	46	53	13613	3H 46M 53S
51	"K. VAUQUELIN"	88	"NETCOMPANY INEOS CYCLING TEAM"	"03h 46' 53''"	"+ 00h 06' 52''"	"-"	"-"	"stage-2"	3	46	53	13613	3H 46M 53S
52	"S. KUSS"	17	"TEAM VISMA | LEASE A BIKE"	"03h 46' 53''"	"+ 00h 06' 52''"	"-"	"-"	"stage-2"	3	46	53	13613	3H 46M 53S
53	"A. JOHANNESSEN"	125	"UNO-X MOBILITY"	"03h 46' 53''"	"+ 00h 06' 52''"	"-"	"-"	"stage-2"	3	46	53	13613	3H 46M 53S
54	"C. BRAZ AFONSO"	183	"GROUPAMA-FDJ UNITED"	"03h 47' 16''"	"+ 00h 07' 15''"	"-"	"-"	"stage-2"	3	47	16	13636	3H 47M 16S
55	"A. SKAARSETH"	126	"UNO-X MOBILITY"	"03h 48' 41''"	"+ 00h 08' 40''"	"-"	"-"	"stage-2"	3	48	41	13721	3H 48M 41S
56	"P. EENKHOORN"	92	"SOUDAL QUICK-STEP"	"03h 49' 29''"	"+ 00h 09' 28''"	"-"	"-"	"stage-2"	3	49	29	13769	3H 49M 29S
57	"G. STEINHAUSER"	46	"EF EDUCATION - EASYPOST"	"03h 49' 29''"	"+ 00h 09' 28''"	"-"	"-"	"stage-2"	3	49	29	13769	3H 49M 29S
58	"G. ZIMMERMANN"	158	"LOTTO INTERMARCHE"	"03h 49' 29''"	"+ 00h 09' 28''"	"-"	"-"	"stage-2"	3	49	29	13769	3H 49M 29S
59	"R. PLUIMERS"	195	"TUDOR PRO CYCLING TEAM"	"03h 49' 29''"	"+ 00h 09' 28''"	"-"	"-"	"stage-2"	3	49	29	13769	3H 49M 29S
60	"R. DHONDT"	215	"TEAM PICNIC POSTNL"	"03h 49' 29''"	"+ 00h 09' 28''"	"-"	"-"	"stage-2"	3	49	29	13769	3H 49M 29S
61	"S. BERWICK"	223	"CAJA RURAL-SEGUROS RGA"	"03h 49' 29''"	"+ 00h 09' 28''"	"-"	"-"	"stage-2"	3	49	29	13769	3H 49M 29S
62	"N. PRODHOMME"	57	"DECATHLON CMA CGM TEAM"	"03h 49' 29''"	"+ 00h 09' 28''"	"-"	"-"	"stage-2"	3	49	29	13769	3H 49M 29S
63	"L. VERVAEKE"	98	"SOUDAL QUICK-STEP"	"03h 49' 29''"	"+ 00h 09' 28''"	"-"	"-"	"stage-2"	3	49	29	13769	3H 49M 29S
64	"M. HIRSCHI"	194	"TUDOR PRO CYCLING TEAM"	"03h 49' 29''"	"+ 00h 09' 28''"	"-"	"-"	"stage-2"	3	49	29	13769	3H 49M 29S
65	"L. CRAPS"	154	"LOTTO INTERMARCHE"	"03h 49' 29''"	"+ 00h 09' 28''"	"-"	"-"	"stage-2"	3	49	29	13769	3H 49M 29S
66	"E. VERSTRYNGE"	108	"ALPECIN-PREMIER TECH"	"03h 49' 29''"	"+ 00h 09' 28''"	"-"	"-"	"stage-2"	3	49	29	13769	3H 49M 29S
67	"C. HARPER"	173	"PINARELLO-Q36.5 PRO CYCLING TEAM"	"03h 49' 29''"	"+ 00h 09' 28''"	"-"	"-"	"stage-2"	3	49	29	13769	3H 49M 29S
68	"R. DEBRUYNE"	102	"ALPECIN-PREMIER TECH"	"03h 49' 41''"	"+ 00h 09' 40''"	"-"	"-"	"stage-2"	3	49	41	13781	3H 49M 41S
69	"Q. PACHER"	187	"GROUPAMA-FDJ UNITED"	"03h 50' 25''"	"+ 00h 10' 24''"	"-"	"-"	"stage-2"	3	50	25	13825	3H 50M 25S
70	"J. NICOLAU"	225	"CAJA RURAL-SEGUROS RGA"	"03h 51' 02''"	"+ 00h 11' 01''"	"-"	"-"	"stage-2"	3	51	2	13862	3H 51M 2S
71	"M. VAN GILS"	28	"RED BULL - BORA - HANSGROHE"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
72	"X. MEURISSE"	176	"PINARELLO-Q36.5 PRO CYCLING TEAM"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
73	"D. CARUSO"	73	"BAHRAIN VICTORIOUS"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
74	"T. GUERNALEC"	205	"TOTALENERGIES"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
75	"M. FRIGO"	134	"NSN CYCLING TEAM"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
76	"R. STANNARD"	76	"BAHRAIN VICTORIOUS"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
77	"N. OLIVEIRA"	146	"MOVISTAR TEAM"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
78	"L. GERMANI"	185	"GROUPAMA-FDJ UNITED"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
79	"E. COSTIOU"	184	"GROUPAMA-FDJ UNITED"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
80	"A. DELETTRE"	204	"TOTALENERGIES"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
81	"M. VERCHER"	208	"TOTALENERGIES"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
82	"N. BREUILLARD"	202	"TOTALENERGIES"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
83	"M. CATTANEO"	22	"RED BULL - BORA - HANSGROHE"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
84	"B. THOMAS"	168	"COFIDIS"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
85	"J. TARLING"	87	"NETCOMPANY INEOS CYCLING TEAM"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
86	"M. KWIATKOWSKI"	86	"NETCOMPANY INEOS CYCLING TEAM"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
87	"M. TEUNISSEN"	66	"XDS ASTANA TEAM"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
88	"L. DURBRIDGE"	113	"TEAM JAYCO ALULA"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
89	"D. VAN BAARLE"	95	"SOUDAL QUICK-STEP"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
90	"R. GARCIA"	144	"MOVISTAR TEAM"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
91	"J. ALAPHILIPPE"	191	"TUDOR PRO CYCLING TEAM"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
92	"M. MATTHEWS"	115	"TEAM JAYCO ALULA"	"03h 51' 58''"	"+ 00h 11' 57''"	"-"	"-"	"stage-2"	3	51	58	13918	3H 51M 58S
93	"V. PARET PEINTRE"	93	"SOUDAL QUICK-STEP"	"03h 52' 09''"	"+ 00h 12' 08''"	"-"	"-"	"stage-2"	3	52	9	13929	3H 52M 9S
94	"C. RUSSO"	188	"GROUPAMA-FDJ UNITED"	"03h 52' 09''"	"+ 00h 12' 08''"	"-"	"-"	"stage-2"	3	52	9	13929	3H 52M 9S
95	"N. MÄRKL"	216	"TEAM PICNIC POSTNL"	"03h 52' 09''"	"+ 00h 12' 08''"	"-"	"-"	"stage-2"	3	52	9	13929	3H 52M 9S
96	"A. PARET PEINTRE"	56	"DECATHLON CMA CGM TEAM"	"03h 52' 09''"	"+ 00h 12' 08''"	"-"	"-"	"stage-2"	3	52	9	13929	3H 52M 9S
97	"A. GATE"	63	"XDS ASTANA TEAM"	"03h 52' 09''"	"+ 00h 12' 08''"	"-"	"-"	"stage-2"	3	52	9	13929	3H 52M 9S
98	"V. CAMPENAERTS"	14	"TEAM VISMA | LEASE A BIKE"	"03h 52' 09''"	"+ 00h 12' 08''"	"-"	"-"	"stage-2"	3	52	9	13929	3H 52M 9S
99	"T. WELLENS"	7	"UAE TEAM EMIRATES XRG"	"03h 52' 09''"	"+ 00h 12' 08''"	"-"	"-"	"stage-2"	3	52	9	13929	3H 52M 9S
100	"F. GROSSSCHARTNER"	3	"UAE TEAM EMIRATES XRG"	"03h 52' 09''"	"+ 00h 12' 08''"	"-"	"-"	"stage-2"	3	52	9	13929	3H 52M 9S
101	"M. LE BERRE"	206	"TOTALENERGIES"	"03h 52' 09''"	"+ 00h 12' 08''"	"-"	"-"	"stage-2"	3	52	9	13929	3H 52M 9S
102	"C. VERONA"	38	"LIDL-TREK"	"03h 52' 09''"	"+ 00h 12' 08''"	"-"	"-"	"stage-2"	3	52	9	13929	3H 52M 9S
103	"J. RICKAERT"	107	"ALPECIN-PREMIER TECH"	"03h 52' 09''"	"+ 00h 12' 08''"	"-"	"-"	"stage-2"	3	52	9	13929	3H 52M 9S
104	"K. ASGREEN"	42	"EF EDUCATION - EASYPOST"	"03h 52' 09''"	"+ 00h 12' 08''"	"-"	"-"	"stage-2"	3	52	9	13929	3H 52M 9S
105	"M. WALKER"	48	"EF EDUCATION - EASYPOST"	"03h 52' 17''"	"+ 00h 12' 16''"	"-"	"-"	"stage-2"	3	52	17	13937	3H 52M 17S
106	"M. VALGREN"	47	"EF EDUCATION - EASYPOST"	"03h 52' 17''"	"+ 00h 12' 16''"	"-"	"-"	"stage-2"	3	52	17	13937	3H 52M 17S
107	"B. HEALY"	44	"EF EDUCATION - EASYPOST"	"03h 52' 17''"	"+ 00h 12' 16''"	"-"	"-"	"stage-2"	3	52	17	13937	3H 52M 17S
108	"M. HEßMANN"	145	"MOVISTAR TEAM"	"03h 52' 17''"	"+ 00h 12' 16''"	"-"	"-"	"stage-2"	3	52	17	13937	3H 52M 17S
109	"J. BERCKMOES"	153	"LOTTO INTERMARCHE"	"03h 52' 17''"	"+ 00h 12' 16''"	"-"	"-"	"stage-2"	3	52	17	13937	3H 52M 17S
110	"L. ASKEY"	132	"NSN CYCLING TEAM"	"03h 52' 31''"	"+ 00h 12' 30''"	"-"	"-"	"stage-2"	3	52	31	13951	3H 52M 31S
111	"E. PLANCKAERT"	106	"ALPECIN-PREMIER TECH"	"03h 52' 48''"	"+ 00h 12' 47''"	"-"	"-"	"stage-2"	3	52	48	13968	3H 52M 48S
112	"F. ENGELHARDT"	114	"TEAM JAYCO ALULA"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
113	"N. POLITT"	5	"UAE TEAM EMIRATES XRG"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
114	"J. ABRAHAMSEN"	122	"UNO-X MOBILITY"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
115	"T. VAN ASBROECK"	138	"NSN CYCLING TEAM"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
116	"S. DILLIER"	103	"ALPECIN-PREMIER TECH"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
117	"N. VINOKUROV"	68	"XDS ASTANA TEAM"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
118	"H. PAGE"	167	"COFIDIS"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
119	"E. RUBIO"	148	"MOVISTAR TEAM"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
120	"N. DENZ"	23	"RED BULL - BORA - HANSGROHE"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
121	"D. GODON"	85	"NETCOMPANY INEOS CYCLING TEAM"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
122	"W. BARGUIL"	211	"TEAM PICNIC POSTNL"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
123	"J. DEGENKOLB"	214	"TEAM PICNIC POSTNL"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
124	"X. AZPARREN IRURZUN"	172	"PINARELLO-Q36.5 PRO CYCLING TEAM"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
125	"D. HOWSON"	175	"PINARELLO-Q36.5 PRO CYCLING TEAM"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
126	"J. CEPEDA"	143	"MOVISTAR TEAM"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
127	"P. CASTRILLO"	142	"MOVISTAR TEAM"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
128	"T. MARSMAN"	104	"ALPECIN-PREMIER TECH"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
129	"A. CHARMIG"	123	"UNO-X MOBILITY"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
130	"A. TURGIS"	207	"TOTALENERGIES"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
131	"M. LOUVEL"	135	"NSN CYCLING TEAM"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
132	"J. PHILIPSEN"	105	"ALPECIN-PREMIER TECH"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
133	"J. STUYVEN"	94	"SOUDAL QUICK-STEP"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
134	"B. VAN MOER"	177	"PINARELLO-Q36.5 PRO CYCLING TEAM"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
135	"F. VERMEERSCH"	6	"UAE TEAM EMIRATES XRG"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
136	"T. VAN DIJKE"	27	"RED BULL - BORA - HANSGROHE"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
137	"F. BIESTERBOS"	212	"TEAM PICNIC POSTNL"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
138	"M. STORER"	196	"TUDOR PRO CYCLING TEAM"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
139	"P. BITTNER"	213	"TEAM PICNIC POSTNL"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
140	"S. OLDANI"	226	"CAJA RURAL-SEGUROS RGA"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
141	"F. GAVIRIA"	221	"CAJA RURAL-SEGUROS RGA"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
142	"M. KANTER"	64	"XDS ASTANA TEAM"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
143	"J. BIERMANS"	164	"COFIDIS"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
144	"J. OTRUBA"	227	"CAJA RURAL-SEGUROS RGA"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
145	"T. SKUJINS"	36	"LIDL-TREK"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
146	"K. NEILANDS"	136	"NSN CYCLING TEAM"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
147	"T. MERLIER"	91	"SOUDAL QUICK-STEP"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
148	"D. HOOLE"	54	"DECATHLON CMA CGM TEAM"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
149	"M. FRETIN"	165	"COFIDIS"	"03h 53' 47''"	"+ 00h 13' 46''"	"-"	"-"	"stage-2"	3	53	47	14027	3H 53M 47S
150	"M. CORT NIELSEN"	124	"UNO-X MOBILITY"	"03h 53' 53''"	"+ 00h 13' 52''"	"-"	"-"	"stage-2"	3	53	53	14033	3H 53M 53S
151	"M. MOHORIC"	75	"BAHRAIN VICTORIOUS"	"03h 53' 57''"	"+ 00h 13' 56''"	"-"	"-"	"stage-2"	3	53	57	14037	3H 53M 57S
152	"J. TRATNIK"	26	"RED BULL - BORA - HANSGROHE"	"03h 53' 57''"	"+ 00h 13' 56''"	"-"	"-"	"stage-2"	3	53	57	14037	3H 53M 57S
