"Rank"	"Rider"	"Rider.No."	"Team"	"Times"	"Gap"	"B"	"P"	"Stage_no"	"Hour"	"Minute"	"Second"	"total_seconds"	"time"
1	"I. DEL TORO"	2	"UAE TEAM EMIRATES XRG"	"03h 40' 01''"	"-"	"B : 10''"	"-"	"stage-2"	3	40	1	13201	3H 40M 1S
2	"T. POGACAR"	1	"UAE TEAM EMIRATES XRG"	"03h 40' 01''"	"-"	"B : 6''"	"-"	"stage-2"	3	40	1	13201	3H 40M 1S
3	"R. EVENEPOEL"	21	"RED BULL - BORA - HANSGROHE"	"03h 40' 01''"	"-"	"B : 4''"	"-"	"stage-2"	3	40	1	13201	3H 40M 1S
4	"J. VINGEGAARD"	11	"TEAM VISMA | LEASE A BIKE"	"03h 40' 01''"	"-"	"-"	"-"	"stage-2"	3	40	1	13201	3H 40M 1S
5	"M. SKJELMOSE"	35	"LIDL-TREK"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
6	"T. JOHANNESSEN"	121	"UNO-X MOBILITY"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
7	"R. GREGOIRE"	181	"GROUPAMA-FDJ UNITED"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
8	"L. MARTINEZ"	71	"BAHRAIN VICTORIOUS"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
9	"P. SEIXAS"	51	"DECATHLON CMA CGM TEAM"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
10	"T. PIDCOCK"	171	"PINARELLO-Q36.5 PRO CYCLING TEAM"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
11	"L. VAN EETVELT"	156	"LOTTO INTERMARCHE"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
12	"J. AYUSO"	31	"LIDL-TREK"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
13	"I. VAN WILDER"	97	"SOUDAL QUICK-STEP"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
14	"R. CARAPAZ"	41	"EF EDUCATION - EASYPOST"	"03h 40' 08''"	"+ 00h 00' 07''"	"-"	"-"	"stage-2"	3	40	8	13208	3H 40M 8S
15	"A. BAUDIN"	43	"EF EDUCATION - EASYPOST"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
16	"F. LIPOWITZ"	25	"RED BULL - BORA - HANSGROHE"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
17	"C. UIJTDEBROEKS"	141	"MOVISTAR TEAM"	"03h 40' 28''"	"+ 00h 00' 27''"	"-"	"-"	"stage-2"	3	40	28	13228	3H 40M 28S
18	"A. YATES"	8	"UAE TEAM EMIRATES XRG"	"03h 40' 40''"	"+ 00h 00' 39''"	"-"	"-"	"stage-2"	3	40	40	13240	3H 40M 40S
19	"S. HIGUITA"	61	"XDS ASTANA TEAM"	"03h 40' 44''"	"+ 00h 00' 43''"	"-"	"-"	"stage-2"	3	40	44	13244	3H 40M 44S
20	"T. FOSS"	83	"NETCOMPANY INEOS CYCLING TEAM"	"03h 40' 44''"	"+ 00h 00' 43''"	"-"	"-"	"stage-2"	3	40	44	13244	3H 40M 44S
21	"T. ARENSMAN"	82	"NETCOMPANY INEOS CYCLING TEAM"	"03h 40' 48''"	"+ 00h 00' 47''"	"-"	"-"	"stage-2"	3	40	48	13248	3H 40M 48S
22	"M. VAN DER POEL"	101	"ALPECIN-PREMIER TECH"	"03h 40' 48''"	"+ 00h 00' 47''"	"-"	"-"	"stage-2"	3	40	48	13248	3H 40M 48S
23	"E. BERNAL"	81	"NETCOMPANY INEOS CYCLING TEAM"	"03h 40' 48''"	"+ 00h 00' 47''"	"-"	"-"	"stage-2"	3	40	48	13248	3H 40M 48S
24	"A. ARANBURU"	163	"COFIDIS"	"03h 40' 50''"	"+ 00h 00' 49''"	"-"	"-"	"stage-2"	3	40	50	13250	3H 40M 50S
25	"H. TEJADA"	65	"XDS ASTANA TEAM"	"03h 40' 52''"	"+ 00h 00' 51''"	"-"	"-"	"stage-2"	3	40	52	13252	3H 40M 52S
26	"J. PARRA"	228	"CAJA RURAL-SEGUROS RGA"	"03h 40' 55''"	"+ 00h 00' 54''"	"-"	"-"	"stage-2"	3	40	55	13255	3H 40M 55S
27	"Y. VOISARD"	198	"TUDOR PRO CYCLING TEAM"	"03h 41' 11''"	"+ 00h 01' 10''"	"-"	"-"	"stage-2"	3	41	11	13271	3H 41M 11S
28	"D. PIGANZOLI"	18	"TEAM VISMA | LEASE A BIKE"	"03h 41' 11''"	"+ 00h 01' 10''"	"-"	"-"	"stage-2"	3	41	11	13271	3H 41M 11S
29	"J. JEGAT"	201	"TOTALENERGIES"	"03h 41' 11''"	"+ 00h 01' 10''"	"-"	"-"	"stage-2"	3	41	11	13271	3H 41M 11S
30	"I. IZAGIRRE"	161	"COFIDIS"	"03h 41' 12''"	"+ 00h 01' 11''"	"-"	"-"	"stage-2"	3	41	12	13272	3H 41M 12S
31	"J. ROMO"	147	"MOVISTAR TEAM"	"03h 41' 19''"	"+ 00h 01' 18''"	"-"	"-"	"stage-2"	3	41	19	13279	3H 41M 19S
32	"A. BALDERSTONE"	222	"CAJA RURAL-SEGUROS RGA"	"03h 41' 19''"	"+ 00h 01' 18''"	"-"	"-"	"stage-2"	3	41	19	13279	3H 41M 19S
33	"J. DELBOVE"	203	"TOTALENERGIES"	"03h 41' 37''"	"+ 00h 01' 36''"	"-"	"-"	"stage-2"	3	41	37	13297	3H 41M 37S
34	"S. QUINN"	45	"EF EDUCATION - EASYPOST"	"03h 41' 40''"	"+ 00h 01' 39''"	"-"	"-"	"stage-2"	3	41	40	13300	3H 41M 40S
