"Rider_1"	"Name"	"Team.x"	"Rider"	"Value"	"Rank"	"Rider.No."	"Team.y"	"Times"	"Gap"	"B"	"P"	"Stage_no"	"Hour"	"Minute"	"Second"	"total_seconds"	"time"
"D. GEE"	"Mary"	"The Lion Kings"	"Derek Gee-West"	1	45	32	"LIDL-TREK"	"03h 45' 32''"	"+ 00h 05' 31''"	"-"	"-"	"stage-2"	3	45	32	13532	3H 45M 32S
"D. GEE"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Derek Gee-West"	1	45	32	"LIDL-TREK"	"03h 45' 32''"	"+ 00h 05' 31''"	"-"	"-"	"stage-2"	3	45	32	13532	3H 45M 32S
"D. GEE"	"Janet"	"No Idea"	"Derek Gee-West"	1	45	32	"LIDL-TREK"	"03h 45' 32''"	"+ 00h 05' 31''"	"-"	"-"	"stage-2"	3	45	32	13532	3H 45M 32S
"D. GODON"	"Jacques"	"Team Spanky"	"Dorian Godon"	1	121	85	"NETCOMPANY INEOS CYCLING TEAM"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
"D. HOOLE"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Daan Hoole"	1	148	54	"DECATHLON CMA CGM TEAM"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
"D. PIGANZOLI"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Davide Piganzoli"	1	28	18	"TEAM VISMA | LEASE A BIKE"	"03h 41' 11''"	"+ 00h 01' 10''"	"-"	"-"	"stage-2"	3	41	11	13271	3H 41M 11S
"D. PIGANZOLI"	"Pete"	"The Clean Team"	"Davide Piganzoli"	1	28	18	"TEAM VISMA | LEASE A BIKE"	"03h 41' 11''"	"+ 00h 01' 10''"	"-"	"-"	"stage-2"	3	41	11	13271	3H 41M 11S
"E. BERNAL"	"Chris & Jill"	"Mystery Package"	"Egan Bernal "	1	23	81	"NETCOMPANY INEOS CYCLING TEAM"	"03h 40' 48''"	"+ 00h 00' 47''"	"-"	"-"	"stage-2"	3	40	48	13248	3H 40M 48S
"E. RUBIO"	"Ian"	"Shed Brewery"	"Einer Rubio"	1	119	148	"MOVISTAR TEAM"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
"F. ENGELHARDT"	"Julie"	"Can’t catch me 🙂"	"Felix Engelhadt"	1	112	114	"TEAM JAYCO ALULA"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
"F. GANNA"	"Mary"	"The Lion Kings"	"Filipino Ganna"	1	169	84	"NETCOMPANY INEOS CYCLING TEAM"	"03h 54' 44''"	"+ 00h 14' 43''"	"-"	"-"	"stage-2"	3	54	44	14084	3H 54M 44S
"F. GANNA"	"Ashley"	"Le Grand Fromage"	"Filipino Ganna"	1	169	84	"NETCOMPANY INEOS CYCLING TEAM"	"03h 54' 44''"	"+ 00h 14' 43''"	"-"	"-"	"stage-2"	3	54	44	14084	3H 54M 44S
"F. LIPOWITZ"	"Pete"	"The Clean Team"	"Florian Lipowitz"	1	16	25	"RED BULL - BORA - HANSGROHE"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
"F. LIPOWITZ"	"Jacques"	"Team Spanky"	"Florian Lipowitz"	1	16	25	"RED BULL - BORA - HANSGROHE"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
"F. LIPOWITZ"	"Conor"	"iPaddy Rides Again"	"Florian Lipowitz"	1	16	25	"RED BULL - BORA - HANSGROHE"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
"F. LIPOWITZ"	"Alex"	"Team Saucisson"	"Florian Lipowitz"	1	16	25	"RED BULL - BORA - HANSGROHE"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
"F. LIPOWITZ"	"Judy"	"Barcelona Breakaway"	"Florian Lipowitz"	1	16	25	"RED BULL - BORA - HANSGROHE"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
"F. LIPOWITZ"	"Jonathan"	"Pedal Dammit"	"Florian Lipowitz"	1	16	25	"RED BULL - BORA - HANSGROHE"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
"F. LIPOWITZ"	"Ian"	"Shed Brewery"	"Florian Lipowitz"	1	16	25	"RED BULL - BORA - HANSGROHE"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
"F. LIPOWITZ"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Florian Lipowitz"	1	16	25	"RED BULL - BORA - HANSGROHE"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
"F. LIPOWITZ"	"Dirk"	"Tintin en Velo"	"Florian Lipowitz"	1	16	25	"RED BULL - BORA - HANSGROHE"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
"F. LIPOWITZ"	"Matthew"	"Last Minute Lemmings"	"Florian Lipowitz"	1	16	25	"RED BULL - BORA - HANSGROHE"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
"F. WRIGHT"	"Janet"	"No Idea"	"Fred Wright"	1	168	178	"PINARELLO-Q36.5 PRO CYCLING TEAM"	"03h 54' 21''"	"+ 00h 14' 20''"	"-"	"-"	"stage-2"	3	54	21	14061	3H 54M 21S
"G. MARTIN GUYONNET"	"Alain"	"The Eight Musketeers"	"Guillaume Martin-Guyonnet"	1	42	186	"GROUPAMA-FDJ UNITED"	"03h 45' 32''"	"+ 00h 05' 31''"	"-"	"-"	"stage-2"	3	45	32	13532	3H 45M 32S
"G. ZIMMERMANN"	"Alex"	"Team Saucisson"	"Georg Zimmermann"	1	58	158	"LOTTO INTERMARCHE"	"03h 49' 29''"	"+ 00h 09' 28''"	"-"	"-"	"stage-2"	3	49	29	13769	3H 49M 29S
"I. DEL TORO"	"Julie"	"Can’t catch me 🙂"	"Isaac del Toro"	1	1	2	"UAE TEAM EMIRATES XRG"	"03h 40' 01''"	"-"	"B : 10''"	"-"	"stage-2"	3	40	1	13201	3H 40M 1S
"J. ABRAHAMSEN"	"James"	"Škoda Drivers"	"Jonas Abrahamsen"	1	114	122	"UNO-X MOBILITY"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
"J. AYUSO"	"Judy"	"Barcelona Breakaway"	"Juan Ayuso"	1	12	31	"LIDL-TREK"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
"J. AYUSO"	"Pete"	"The Clean Team"	"Juan Ayuso"	1	12	31	"LIDL-TREK"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
"J. AYUSO"	"James"	"Škoda Drivers"	"Juan Ayuso"	1	12	31	"LIDL-TREK"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
"J. AYUSO"	"Dirk"	"Tintin en Velo"	"Juan Ayuso"	1	12	31	"LIDL-TREK"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
"J. AYUSO"	"Conor"	"iPaddy Rides Again"	"Juan Ayuso"	1	12	31	"LIDL-TREK"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
"J. AYUSO"	"Alex"	"Team Saucisson"	"Juan Ayuso"	1	12	31	"LIDL-TREK"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
"J. HINDLEY"	"Mary"	"The Lion Kings"	"Jai Hindley"	1	36	24	"RED BULL - BORA - HANSGROHE"	"03h 41' 56''"	"+ 00h 01' 55''"	"-"	"-"	"stage-2"	3	41	56	13316	3H 41M 56S
"J. HINDLEY"	"Janet"	"No Idea"	"Jai Hindley"	1	36	24	"RED BULL - BORA - HANSGROHE"	"03h 41' 56''"	"+ 00h 01' 55''"	"-"	"-"	"stage-2"	3	41	56	13316	3H 41M 56S
