"Rank"	"Rider"	"Rider.No."	"Team"	"Times"	"Gap"	"B"	"P"	"Stage_no"	"Hour"	"Minute"	"Second"	"total_seconds"	"time"
156	"J. NICOLAU"	225	"CAJA RURAL-SEGUROS RGA"	"00h 26' 15''"	"+ 00h 04' 28''"	"-"	"-"	"stage-1"	0	26	15	1575	26M 15S
157	"C. BOL"	53	"DECATHLON CMA CGM TEAM"	"00h 26' 18''"	"+ 00h 04' 31''"	"-"	"-"	"stage-1"	0	26	18	1578	26M 18S
158	"M. FRETIN"	165	"COFIDIS"	"00h 26' 19''"	"+ 00h 04' 32''"	"-"	"-"	"stage-1"	0	26	19	1579	26M 19S
159	"B. O'CONNOR"	111	"TEAM JAYCO ALULA"	"00h 26' 20''"	"+ 00h 04' 33''"	"-"	"-"	"stage-1"	0	26	20	1580	26M 20S
160	"K. O’BRIEN"	116	"TEAM JAYCO ALULA"	"00h 26' 20''"	"+ 00h 04' 33''"	"-"	"-"	"stage-1"	0	26	20	1580	26M 20S
161	"F. ENGELHARDT"	114	"TEAM JAYCO ALULA"	"00h 26' 20''"	"+ 00h 04' 33''"	"-"	"-"	"stage-1"	0	26	20	1580	26M 20S
162	"J. DELBOVE"	203	"TOTALENERGIES"	"00h 26' 21''"	"+ 00h 04' 34''"	"-"	"-"	"stage-1"	0	26	21	1581	26M 21S
163	"M. SCHMID"	118	"TEAM JAYCO ALULA"	"00h 26' 22''"	"+ 00h 04' 35''"	"-"	"-"	"stage-1"	0	26	22	1582	26M 22S
164	"K. GRADEK"	74	"BAHRAIN VICTORIOUS"	"00h 26' 24''"	"+ 00h 04' 37''"	"-"	"-"	"stage-1"	0	26	24	1584	26M 24S
165	"P. BAUHAUS"	72	"BAHRAIN VICTORIOUS"	"00h 26' 24''"	"+ 00h 04' 37''"	"-"	"-"	"stage-1"	0	26	24	1584	26M 24S
166	"A. GATE"	63	"XDS ASTANA TEAM"	"00h 26' 24''"	"+ 00h 04' 37''"	"-"	"-"	"stage-1"	0	26	24	1584	26M 24S
167	"M. TEUNISSEN"	66	"XDS ASTANA TEAM"	"00h 26' 33''"	"+ 00h 04' 46''"	"-"	"-"	"stage-1"	0	26	33	1593	26M 33S
168	"D. BALLERINI"	62	"XDS ASTANA TEAM"	"00h 26' 33''"	"+ 00h 04' 46''"	"-"	"-"	"stage-1"	0	26	33	1593	26M 33S
169	"B. VAN LERBERGHE"	96	"SOUDAL QUICK-STEP"	"00h 26' 36''"	"+ 00h 04' 49''"	"-"	"-"	"stage-1"	0	26	36	1596	26M 36S
170	"T. MERLIER"	91	"SOUDAL QUICK-STEP"	"00h 26' 36''"	"+ 00h 04' 49''"	"-"	"-"	"stage-1"	0	26	36	1596	26M 36S
171	"P. ACKERMANN"	112	"TEAM JAYCO ALULA"	"00h 26' 38''"	"+ 00h 04' 51''"	"-"	"-"	"stage-1"	0	26	38	1598	26M 38S
172	"L. DURBRIDGE"	113	"TEAM JAYCO ALULA"	"00h 26' 38''"	"+ 00h 04' 51''"	"-"	"-"	"stage-1"	0	26	38	1598	26M 38S
173	"T. GUERNALEC"	205	"TOTALENERGIES"	"00h 26' 39''"	"+ 00h 04' 52''"	"-"	"-"	"stage-1"	0	26	39	1599	26M 39S
174	"N. VINOKUROV"	68	"XDS ASTANA TEAM"	"00h 26' 41''"	"+ 00h 04' 54''"	"-"	"-"	"stage-1"	0	26	41	1601	26M 41S
175	"M. TRENTIN"	197	"TUDOR PRO CYCLING TEAM"	"00h 26' 53''"	"+ 00h 05' 06''"	"-"	"-"	"stage-1"	0	26	53	1613	26M 53S
176	"M. HALLER"	193	"TUDOR PRO CYCLING TEAM"	"00h 26' 53''"	"+ 00h 05' 06''"	"-"	"-"	"stage-1"	0	26	53	1613	26M 53S
177	"J. PHILIPSEN"	105	"ALPECIN-PREMIER TECH"	"00h 26' 54''"	"+ 00h 05' 07''"	"-"	"-"	"stage-1"	0	26	54	1614	26M 54S
178	"S. DILLIER"	103	"ALPECIN-PREMIER TECH"	"00h 26' 54''"	"+ 00h 05' 07''"	"-"	"-"	"stage-1"	0	26	54	1614	26M 54S
179	"J. RICKAERT"	107	"ALPECIN-PREMIER TECH"	"00h 26' 55''"	"+ 00h 05' 08''"	"-"	"-"	"stage-1"	0	26	55	1615	26M 55S
180	"M. VALGREN"	47	"EF EDUCATION - EASYPOST"	"00h 26' 55''"	"+ 00h 05' 08''"	"-"	"-"	"stage-1"	0	26	55	1615	26M 55S
181	"N. DENZ"	23	"RED BULL - BORA - HANSGROHE"	"00h 27' 00''"	"+ 00h 05' 13''"	"-"	"-"	"stage-1"	0	27	0	1620	27M 0S
182	"T. VAN DIJKE"	27	"RED BULL - BORA - HANSGROHE"	"00h 27' 04''"	"+ 00h 05' 17''"	"-"	"-"	"stage-1"	0	27	4	1624	27M 4S
183	"P. ALLEGAERT"	162	"COFIDIS"	"00h 27' 20''"	"+ 00h 05' 33''"	"-"	"-"	"stage-1"	0	27	20	1640	27M 20S
184	"S. VELASCO"	67	"XDS ASTANA TEAM"	"00h 27' 45''"	"+ 00h 05' 58''"	"-"	"-"	"stage-1"	0	27	45	1665	27M 45S
