"Rider_1"	"Name"	"Team.x"	"Rider"	"Value"	"Rider.No."	"Team.y"	"Points"	"Stage_no"
"A. BAUDIN"	"Ashley"	"Le Grand Fromage"	"Alex Baudin"	1	43	"EF EDUCATION - EASYPOST"	16	"stage-3"
"A. BAUDIN"	"Alain"	"The Eight Musketeers"	"Alex Baudin"	1	43	"EF EDUCATION - EASYPOST"	16	"stage-3"
"A. BAUDIN"	"Jacques"	"Team Spanky"	"Alex Baudin"	1	43	"EF EDUCATION - EASYPOST"	16	"stage-3"
"A. TIBERI"	"Judy"	"Barcelona Breakaway"	"Antonio Tiberi"	1	0	"0"	0	"0"
"A. TIBERI"	"Ian"	"Shed Brewery"	"Antonio Tiberi"	1	0	"0"	0	"0"
"A. TIBERI"	"Pete"	"The Clean Team"	"Antonio Tiberi"	1	0	"0"	0	"0"
"A. YATES"	"Judy"	"Barcelona Breakaway"	"Adam Yates"	1	0	"0"	0	"0"
"A. YATES"	"Ian"	"Shed Brewery"	"Adam Yates"	1	0	"0"	0	"0"
"A. YATES"	"Conor"	"iPaddy Rides Again"	"Adam Yates"	1	0	"0"	0	"0"
"A. YATES"	"Matthew"	"Last Minute Lemmings"	"Adam Yates"	1	0	"0"	0	"0"
"A. YATES"	"Janet"	"No Idea"	"Adam Yates"	1	0	"0"	0	"0"
"B. GIRMAY"	"Mary"	"The Lion Kings"	"Biniam Girmay "	1	131	"NSN CYCLING TEAM"	0	"stage-3"
"B. GIRMAY"	"Dirk"	"Tintin en Velo"	"Biniam Girmay "	1	131	"NSN CYCLING TEAM"	0	"stage-3"
"B. GIRMAY"	"Chris & Jill"	"Mystery Package"	"Biniam Girmay "	1	131	"NSN CYCLING TEAM"	0	"stage-3"
"B. HEALY"	"Pete"	"The Clean Team"	"Ben Healy"	1	0	"0"	0	"0"
"B. HEALY"	"Jonathan"	"Pedal Dammit"	"Ben Healy"	1	0	"0"	0	"0"
"B. HEALY"	"James"	"Škoda Drivers"	"Ben Healy"	1	0	"0"	0	"0"
"B. HEALY"	"Matthew"	"Last Minute Lemmings"	"Ben Healy"	1	0	"0"	0	"0"
"B. HEALY"	"Julie"	"Can’t catch me 🙂"	"Ben Healey"	1	0	"0"	0	"0"
"B. HEALY"	"Jacques"	"Team Spanky"	"Ben Healy"	1	0	"0"	0	"0"
"B. O'CONNOR"	"Conor"	"iPaddy Rides Again"	"Ben O'Connor"	1	0	"0"	0	"0"
"B. O'CONNOR"	"Matthew"	"Last Minute Lemmings"	"Ben O'Connor"	1	0	"0"	0	"0"
"C. UIJTDEBROEKS"	"Ashley"	"Le Grand Fromage"	"Cian Uijtdebroeks"	1	0	"0"	0	"0"
"C. UIJTDEBROEKS"	"Pete"	"The Clean Team"	"Cian Uijtdebroeks"	1	0	"0"	0	"0"
"C. UIJTDEBROEKS"	"Dirk"	"Tintin en Velo"	"Cian Uijtdebroeks"	1	0	"0"	0	"0"
"D. GEE"	"Mary"	"The Lion Kings"	"Derek Gee-West"	1	0	"0"	0	"0"
"D. GEE"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Derek Gee-West"	1	0	"0"	0	"0"
"D. GEE"	"Janet"	"No Idea"	"Derek Gee-West"	1	0	"0"	0	"0"
"D. GODON"	"Jacques"	"Team Spanky"	"Dorian Godon"	1	0	"0"	0	"0"
"D. HOOLE"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Daan Hoole"	1	0	"0"	0	"0"
"D. PIGANZOLI"	"Pete"	"The Clean Team"	"Davide Piganzoli"	1	0	"0"	0	"0"
"D. PIGANZOLI"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Davide Piganzoli"	1	0	"0"	0	"0"
"E. BERNAL"	"Chris & Jill"	"Mystery Package"	"Egan Bernal "	1	0	"0"	0	"0"
"E. RUBIO"	"Ian"	"Shed Brewery"	"Einer Rubio"	1	0	"0"	0	"0"
"F. ENGELHARDT"	"Julie"	"Can’t catch me 🙂"	"Felix Engelhadt"	1	114	"TEAM JAYCO ALULA"	0	"stage-3"
"F. GANNA"	"Ashley"	"Le Grand Fromage"	"Filipino Ganna"	1	0	"0"	0	"0"
"F. GANNA"	"Mary"	"The Lion Kings"	"Filipino Ganna"	1	0	"0"	0	"0"
"F. LIPOWITZ"	"Ian"	"Shed Brewery"	"Florian Lipowitz"	1	25	"RED BULL - BORA - HANSGROHE"	13	"stage-3"
"F. LIPOWITZ"	"Jacques"	"Team Spanky"	"Florian Lipowitz"	1	25	"RED BULL - BORA - HANSGROHE"	13	"stage-3"
"F. LIPOWITZ"	"Conor"	"iPaddy Rides Again"	"Florian Lipowitz"	1	25	"RED BULL - BORA - HANSGROHE"	13	"stage-3"
"F. LIPOWITZ"	"Dirk"	"Tintin en Velo"	"Florian Lipowitz"	1	25	"RED BULL - BORA - HANSGROHE"	13	"stage-3"
"F. LIPOWITZ"	"Jonathan"	"Pedal Dammit"	"Florian Lipowitz"	1	25	"RED BULL - BORA - HANSGROHE"	13	"stage-3"
"F. LIPOWITZ"	"Pete"	"The Clean Team"	"Florian Lipowitz"	1	25	"RED BULL - BORA - HANSGROHE"	13	"stage-3"
"F. LIPOWITZ"	"Alex"	"Team Saucisson"	"Florian Lipowitz"	1	25	"RED BULL - BORA - HANSGROHE"	13	"stage-3"
"F. LIPOWITZ"	"Matthew"	"Last Minute Lemmings"	"Florian Lipowitz"	1	25	"RED BULL - BORA - HANSGROHE"	13	"stage-3"
"F. LIPOWITZ"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Florian Lipowitz"	1	25	"RED BULL - BORA - HANSGROHE"	13	"stage-3"
